"----------------------------------
Data Retrieval: Starting
----------------------------------"
"***********
Beginning callset group: 0
***********"
"Processed Record 36 in callset group: 1 | nishihara, jp"
"Processed Record 37 in callset group: 1 | iqaluit, ca"
"Processed Record 38 in callset group: 1 | leningradskiy, ru"
"Skipping Record 39 in callset group: 1 | anklesvar, in NOT FOUND"
"Processed Record 40 in callset group: 1 | tasiilaq, gl"
"Processed Record 41 in callset group: 1 | alta floresta, br"
"Processed Record 42 in callset group: 1 | samarai, pg"
"Processed Record 43 in callset group: 1 | lindas, no"
"Processed Record 44 in callset group: 1 | los palacios, cu"
"Processed Record 45 in callset group: 1 | lebu, cl"
"Processed Record 46 in callset group: 1 | bethel, us"
"Processed Record 47 in callset group: 1 | sitka, us"
"Processed Record 48 in callset group: 1 | ban nahin, la"
"Processed Record 49 in callset group: 1 | hunchun, cn"
"Processed Record 50 in callset group: 1 | ilulissat, gl"
"Processed Record 51 in callset group: 1 | cherskiy, ru"
"Skipping Record 52 in callset group: 1 | araguacu, br NOT FOUND"
"Processed Record 53 in callset group: 1 | hadrut, az"
"Processed Record 54 in callset group: 1 | aklavik, ca"
"Processed Record 55 in callset group: 1 | saskylakh, ru"
"Processed Record 56 in callset group: 1 | portland, au"
"Processed Record 57 in callset group: 1 | hasaki, jp"
"Processed Record 58 in callset group: 1 | galesong, id"
"Processed Record 59 in callset group: 1 | butaritari, ki"
"***********
Beginning callset group: 2
***********"
"Processed Record 0 in callset group: 2 | arraial do cabo, br"
"Processed Record 1 in callset group: 2 | rudbar, af"
"Processed Record 2 in callset group: 2 | kruisfontein, za"
"Skipping Record 3 in callset group: 2 | kismayo, so NOT FOUND"
"Processed Record 4 in callset group: 2 | kodiak, us"
"Processed Record 5 in callset group: 2 | los llanos de aridane, es"
"Skipping Record 6 in callset group: 2 | ruatoria, nz NOT FOUND"
"Processed Record 7 in callset group: 2 | avarua, ck"
"Processed Record 8 in callset group: 2 | sol-iletsk, ru"
"Processed Record 9 in callset group: 2 | yining, cn"
"Processed Record 10 in callset group: 2 | provideniya, ru"
"Processed Record 11 in callset group: 2 | hatsukaichi, jp"
"Processed Record 12 in callset group: 2 | chuy, uy"
"Processed Record 13 in callset group: 2 | varhaug, no"
"Processed Record 14 in callset group: 2 | uberlandia, br"
"Processed Record 15 in callset group: 2 | naze, jp"
"Skipping Record 16 in callset group: 2 | lasa, cn NOT FOUND"
"Skipping Record 17 in callset group: 2 | kuche, cn NOT FOUND"
"Processed Record 18 in callset group: 2 | kishi, ng"
"Processed Record 19 in callset group: 2 | mahebourg, mu"
"Skipping Record 20 in callset group: 2 | airai, pw NOT FOUND"
"Skipping Record 21 in callset group: 2 | goderich, sl NOT FOUND"
"Processed Record 22 in callset group: 2 | bastia, fr"
"Processed Record 23 in callset group: 2 | navashino, ru"
"Processed Record 24 in callset group: 2 | boguchany, ru"
"Processed Record 25 in callset group: 2 | mahina, pf"
"Skipping Record 26 in callset group: 2 | burica, pa NOT FOUND"
"Processed Record 27 in callset group: 2 | hammerfest, no"
"Processed Record 28 in callset group: 2 | blagoyevo, ru"
"Skipping Record 29 in callset group: 2 | urumqi, cn NOT FOUND"
"Processed Record 30 in callset group: 2 | linhares, br"
"Processed Record 31 in callset group: 2 | bilibino, ru"
"Processed Record 32 in callset group: 2 | hovd, mn"
"Processed Record 33 in callset group: 2 | thompson, ca"
"Processed Record 34 in callset group: 2 | nanortalik, gl"
"Skipping Record 35 in callset group: 2 | asfi, ma NOT FOUND"
"Processed Record 36 in callset group: 2 | mitsamiouli, km"
"Processed Record 37 in callset group: 2 | evensk, ru"
"Processed Record 38 in callset group: 2 | chokurdakh, ru"
"Processed Record 39 in callset group: 2 | tabou, ci"
"Processed Record 40 in callset group: 2 | georgetown, sh"
"Processed Record 41 in callset group: 2 | khatanga, ru"
"Processed Record 42 in callset group: 2 | sabang, id"
"Processed Record 43 in callset group: 2 | san andres, co"
"Processed Record 44 in callset group: 2 | qaanaaq, gl"
"Processed Record 45 in callset group: 2 | sokolo, ml"
"Processed Record 46 in callset group: 2 | mahibadhoo, mv"
"Processed Record 47 in callset group: 2 | spokane, us"
"Processed Record 48 in callset group: 2 | lorengau, pg"
"Processed Record 49 in callset group: 2 | seoul, kr"
"Processed Record 50 in callset group: 2 | tahoua, ne"
"Processed Record 51 in callset group: 2 | cabra, ph"
"Processed Record 52 in callset group: 2 | new norfolk, au"
"Processed Record 53 in callset group: 2 | tiksi, ru"
"Processed Record 54 in callset group: 2 | pevek, ru"
"Processed Record 55 in callset group: 2 | salalah, om"
"Processed Record 56 in callset group: 2 | sobolevo, ru"
"Processed Record 57 in callset group: 2 | vytegra, ru"
