,CityID,Name,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed (mph),Date_Time
1091,3445418,Vazante,BR,-17.99,-46.9,68.83,95,100,1.72,1573884350
1092,2015217,Tokur,RU,53.13,132.9,-5.26,90,100,2.3,1573884408
1093,490040,Sovetskiy,RU,56.76,48.47,31.35,79,100,12.44,1573884409
1094,361058,Alexandria,EG,31.2,29.89,71.6,64,40,11.41,1573884409
1095,2269142,Colares,PT,38.8,-9.45,50.0,81,17,2.24,1573884409
1096,3353715,Outjo,NA,-20.11,16.16,64.4,22,36,13.73,1573884409
1097,2094027,Kieta,PG,-6.22,155.63,84.27,69,49,2.95,1573884409
1098,2255542,Owando,CG,-0.49,15.91,72.55,96,100,2.42,1573884409
1099,2444219,Goure,NE,13.98,10.27,79.0,21,66,4.0,1573884409
1100,933787,Dutlwe,BW,-23.98,23.93,79.92,17,0,7.56,1573884409
1101,49747,Xuddur,SO,4.12,43.89,78.42,63,60,18.84,1573884409
1102,2646276,Ilfracombe,GB,51.21,-4.13,46.99,100,75,5.82,1573884409
1103,2108502,Honiara,SB,-9.43,159.96,84.2,79,75,4.7,1573884389
1104,2015686,Talakan,RU,50.29,130.28,1.65,81,100,9.17,1573884409
1105,3580661,George Town,KY,19.29,-81.37,78.01,86,3,1.1,1573884409
1106,468747,Yashkul,RU,46.17,45.34,45.25,67,100,19.3,1573884409
1107,1513087,Nurota,UZ,40.56,65.69,46.4,52,100,2.24,1573884410
1108,2428394,Mao,TD,14.12,15.31,77.27,21,0,12.28,1573884471
1109,1736660,Kota Belud,MY,6.35,116.43,87.8,74,75,3.36,1573884471
1110,2094746,Kandrian,PG,-6.21,149.55,79.93,79,99,5.64,1573884471
1111,3176739,Formello,IT,42.08,12.4,59.0,93,40,6.93,1573884471
1112,2744337,Winsum,NL,53.33,6.52,39.99,100,100,4.7,1573884471
1113,1486910,Komsomolskiy,RU,67.55,63.78,30.15,95,100,17.56,1573884471
1114,1062663,Mahajanga,MG,-15.72,46.32,84.2,74,75,5.82,1573884471
1115,89113,Ajdabiya,LY,30.75,20.22,59.07,46,42,11.74,1573884471
1116,1625908,Sungairaya,ID,0.7,108.9,86.68,67,48,6.26,1573884471
1117,2109528,Buala,SB,-8.15,159.59,84.42,69,97,3.85,1573884471
1118,2019135,Nizhniy Kuranakh,RU,58.84,125.49,-7.44,92,100,8.48,1573884471
1119,3720811,Mirebalais,HT,18.83,-72.1,75.2,94,27,8.05,1573884471
1120,1651591,Amahai,ID,-3.31,129.0,82.94,71,54,6.78,1573884472
1121,1056151,Mananjary,MG,-19.16,46.8,74.17,64,45,6.91,1573884472
1122,3842670,Olavarria,AR,-36.89,-60.32,70.0,64,4,1.01,1573884472
1123,5897321,Wellington,CA,44.87,-63.61,43.0,93,75,8.05,1573884472
1124,2640076,Port Bannatyne,GB,55.86,-5.08,32.0,92,100,4.7,1573884472
1125,4870380,Ottumwa,US,41.02,-92.41,35.6,80,1,4.7,1573884472
1126,3403127,Capitao Poco,BR,-1.75,-47.06,71.76,95,0,2.64,1573884472
1127,1495626,Pangody,RU,65.85,74.49,2.8,94,100,19.71,1573884472
1128,2120334,Tymovskoye,RU,50.85,142.66,9.59,92,100,8.37,1573884472
1129,6138501,Saint-Augustin,CA,45.63,-73.98,17.01,56,5,4.7,1573884472
1130,2258378,Loandjili,CG,-4.77,11.87,75.2,100,75,4.7,1573884472
1131,3516499,Suchiapa,MX,16.62,-93.08,71.6,73,75,27.51,1573884472
1132,1630639,Pringsewu,ID,-5.36,104.98,93.42,38,28,3.02,1573884473
1133,2798298,Fleurus,BE,50.48,4.55,35.6,90,70,6.93,1573884473
